og_representation,mapping,confusion,count
रामेन्द्र,Ramendra,,181
श्रीवास्‍तव,Shrivastav,,181
लालसिंह,Lal singh,y,180
अंकुश,Ankush,,180
भूषण,Bhushan,,180
रहमान,Rahman,,180
सुनीत,Sunit,,180
कुन्दन,Kundan,,179
जयदेवी,Jaydevi,,179
दुलारी,Dulari,,179
महादेव,Mahadev,,179
राजेन्द्री,Rajendri,,179
रामविलास,Ram vilas,,179
शांती,Shanti,,179
सन्नी,Sanni,,179
जाहिद,Jahid,,178
त्रिलोकी,Triloki,,178
दत्तक,Dattak,,178
प्रभूदयाल,Prabhu dayal,,178
रमाशंकर,Rama shankar,,178
रामलाल,Ramlal,,178
सत्यदेव,Satyadev,,178
सेठी,Sethi,,178
नरायनसिंह,Narayan singh,y,177
लौंगश्री,Laungshree,y,177
कल्लो,Kallo,,177
भंवर,Bhanvar,,177
भुवनेश,Bhuvnesh,,177
मलिक,Malik,,177
रविकान्त,Ravikant,,177
सरवती,Sarvati,,177
सिया,Siya,,177
पदमा,Padma,,176
शैलेन्‍द्र,Shailendra,,176
श्यामा,Shyama,,176
चरनसिंह,Charan singh,y,175
अशफाक,Ashfak,,175
करीव,Kariv,,175
घूरे,Ghure,,175
दौनेरिया,Dauneriy,,175
बलराम,Balram,,175
बसन्त,Basant,,175
अखिल,Akhil,,174
अमरसिंह,Amar singh,,174
पन्नालाल,Pannalal,,174
प्रेमशंकर,Prem shankar,,174
अकील,Akeel,,173
एचयूएफ,HUF,,173
छविराम,Chaviram,,173
प्रेमप्रकाश,Prem prakash,,173
बीओआई,BOI,,173
रामदयाल,Ram dayal,,173
शशीकान्त,Shashikant,,173
सोमोती,Somoti,,173
प्रतापसिंह,Pratap singh,y,172
स०,,y,172
ओझा,Oza,,172
प्रभाकर,Prabhakar,,172
भोलाराम,Bholaram,,172
मल्ला,Malla,,172
मोतीलाल,Motilal,,172
शिवनन्दन,Shiv nandan,,172
सुजान,Sujan,,172
कन्स्टक्शन,Construction,y,171
आर्य,Aary,,171
इन्दौलिया,Indauliya,,171
गनपति,Ganpati,,171
द्ववेदी,Dvavedi,,171
रूकमणी,Rukamani,,171
विष्‍णु,Vishnu,,171
सुल्ताना,Sultana,,171
नाबा०,,y,170
इन्दू,Indu,,170
ऐदल,Edal,,170
कैलाशचन्द,Kailashchand,,170
गोपी,Gopi,,170
चन्द्रकान्त,Chandrakant,,170
विमलादेवी,Vimladevi,,170
सेवक,Sevak,,170
एक्स,X,,169
छाया,Chaya,,169
नाजमा,Najma,,169
रीतेश,Ritesh,,169
रूपा,Roopa,,169
शिवदयाल,Shiv dayal,,169
सहसचिव,Sah sachiv,,169
सुनहरीलाल,Sunharilal,,169
सूबेदार,Subedar,,169
हिना,Hina,,169
व्,,y,168
गोपीचन्द,Gopichand,,168
जावित्री,Javitri,,168
बिन्दल,Bindal,,168
रूपेन्द्र,Rupendra,,168
सांधन,Sandhan,,168
मुनेन्द्र,Munendra,,167
शान्ति,Shanti,,167
श्रीकान्त,Shree kant,,167
सरनाम,Sarnam,,167
सौमोती,Saumoti,,167
हरभेजी,Harbheji,,167
हसन,Hasan,,167
परिषद्,Parishad,y,166
नकुल,Nakul,,166
निशान्त,Nishant,,166
रिन्कू,Rinku,,166
दुष्यन्त,Dushyant,,165
परसराम,Parasram,,165
पारूल,Parul,,165
सहदेव,Sahdev,,165
हरिप्रसाद,Hari prasad,,165
इन्फ्रालैण्ड,Infra land,,164
कलियान,Kaliyan,,164
जगत,Jagat,,164
जूली,Juli,,164
धनगर,Dhangar,,164
बेताल,Betal,,164
भजनलाल,Bhajanlal,,164
भानु,Bhanu,,164
भाव,Bhav,,164
सोनदेवी,Sondevi,,164
खंा,,y,163
अर्पित,Arpit,,163
रतीराम,Ratiram,,163
वाधवा,Vadhva,,163
सक्‍सैना,Saksaina,,163
सत्‍यप्रकाश,Satya prakash,,163
एस०वी०आई०,,y,162
वा०,,Y,162
इंडियन,Indian,,162
खेमचन्द,Khemchand,,162
गंगादेवी,Gangadevi,,162
गीतादेवी,Geetadevi,,162
प्रेमवीर,Premveer,,162
लवानियाँ,Lavaniya,y,161
आमीन,Aamin,,161
गीताराम,Geetaram,,161
पॉवर,Power,,161
मोतीराम,Motiram,,161
लूथरा,Luthra,,161
वासवानी,Vasvani,,161
वैंक,Vaink,,161
शान्तीदेवी,Shantidevi,,161
शिवा,Shiva,,161
सुरेशचंद,Sureshchand,,161
मानसिह,Mansih,y,160
रियलटर्स,Realtors,y,160
अजयपाल,Ajaypal,,160
इन्फ्रावेन्चर,Infra venture,,160
गब्बर,Gabbar,,160
चन्‍द्रवती,Chandravati,,160
शानू,Shanu,,160
शाहीन,Shaheen,,160
सुखदेव,Sukhdev,,160
सौनू,Saunu,,160
हजारी,Hajari,,160
वाजपेई,Vajpai,y,159
केशवदेव,Keshavdev,,159
देवीराम,Devi ram,,159
नूतन,Nutan,,159
बागला,Bagla,,159
मंजूदेवी,Manjudevi,,159
मन्‍जू,Manju,,159
राजाबेटी,Rajabeti,,159
विशम्बर,Vishambar,,159
ज्ञानेश,Gyanesh,y,158
राजेश्वर,Rajeshvar,y,158
वीरीसिंह,Veer singh,y,158
अमीना,Amina,,158
कुन्ती,Kunti,,158
पारस,Paras,,158
महामहिम,Mahamahim,,158
लज्जाराम,Lajjaram,,158
सत्संगी,Satsangi,,158
जैक्सन,Jackson,y,157
टी,Tea,y,157
प्रेमसिह,Premsih,y,157
मो०,,y,157
सईद,Saeed,Y,157
गोरेलाल,Gorelal,,157
जसोदा,Jasoda,,157
जोशी,Joshi,,157
तिलक,Tilak,,157
लिपिक,Lipika,,157
सुरजीत,Surjeet,,157
करूआ,Karuaa,y,156
आशुतोष,Aashutosh,,156
काली,Kali,,156
कृष्णगोपाल,Krishna gopal,,156
दीपचन्द,Deepchand,,156
धर्मेश,Dharmesh,,156
रूपकिशोर,Roop kishor,,156
दौलतराम,Daulatram,,155
नन्दन,Nandan,,155
नीलेश,Nilesh,,155
प्रभू,Prabhu,,155
बल्देव,Baldev,,155
भागीदार,Bhagidar,,155
लोंगश्री,Longshree,,155
स्वय,Svay,,155
सं,,y,154
अर्यावर्त,Aryavart,,154
गिरधारी,Girdhari,,154
नेपाल,Nepal,,154
सुदेश,Sudesh,,154
आलेनवी,Aalenavi,,153
चन्‍द्रभान,Chandrabhan,,153
धन,Dhan,,153
मंगला,Mangala,,153
समुन्द्र,Samundra,,153
ना०वा०,,y,152
आमिर,Aamir,,152
किरनदेवी,Kirandevi,,152
चंद्र,Chandra,,152
धवन,Dhavan,,152
पीताम्बरा,Pitambara,,152
प्रमिला,Pramila,,152
मधुबाला,Madhubala,,152
रईस,Raees,,152
कमलसिंह,Kamal singh,y,151
डबलपर्स,,Y,151
कमरूददीन,Kamruddin,,151
त्रिलोक,Trilok,,151
दीपू,Deepu,,151
धर्मवती,Dharmvati,,151
भोलू,Bholu,,151
रहीसा,Raheesa,,151
रागिनी,Ragini,,151
रूमा,Ruma,,151
इन्फ्राडवलपर्स,Infra developers,,150
तिरूपति,Tirupati,,150
मथुरा,Mathura,,150
मुन्नीलाल,Munnilal,,150
रीयल,Real,,150
ललितेश,Lalitesh,,150
सफेदी,Safedi,,150
हिम्मत,Himmat,,150
हेतराम,Hetram,,150
रिजव्यू,Rijvyu,y,149
गौरा,Gaura,,149
टीटू,Titu,,149
नावा,Nava,,149
पुष्पलता,Pushplata,,149
फतेहावाद,Fatehavad,,149
भूपेन्‍द्र,Bhupendra,,149
महारानी,Maharani,,149
रामकटोरी,Ram katori,,149
रामेश्‍वर,Rameshvar,,149
सोनकर,Sonkar,,149
केशवती,Keshvati,,148
चाँद,Chand,,148
जतिन,Jatin,,148
सन्त,Sant,,148
उमंग,Umang,,147
खास,Khas,,147
नेम,Nem,,147
ब्रज,Braj,,147
विक्की,Vikki,,147
विध्या,Vidhya,,147
संजना,Sanjana,,147
अवस्थी,Avasthi,,146
नर्मदा,Narmada,,146
पुष्‍पांजली,Pushpanjali,,146
यशवीर,Yashveer,,146
रविन्‍द्र,Ravindra,,146
वैभव,Vaibhav,,146
सगीर,Sageer,,146
प्र०,,y,145
स्‍वंय,Svanay,y,145
नीलू,Neelu,,145
नौशाद,Naushad,,145
रामदेव,Ramdev,,145
वीरेश,Veeresh,,145
खत्री,Khatri,,144
जैसवाल,Jaiswal,,144
नगेन्द्र,Nagendra,,144
पुष्कर,Pushkar,,144
बीरी,Biri,,144
भरोसी,Bharosi,,144
भूमि,Bhumi,,144
मंजीत,Manjeet,,144
रूखसाना,Rukhsana,,144
शहजादा,Shahjada,,144
मुन्न्ी,,y,143
अंजुम,Anjum,,143
आदिल,Adil,,143
गंगाधर,Gangadhar,,143
नवाव,Navav,,143
रघुवंशी,Raghuvanshi,,143
सेन,Sen,,143
कु०,,y,142
कुंवर,Kunvar,y,142
जहॉ,,Y,142
इन्फ्राबिल्ड,Infra build,,142
जगराम,Jagram,,142
नबाब,Nabab,,142
वानो,Vano,,142
सत्तो,Satto,,142
सुन्‍दर,Sundar,,142
अंगूरीदेवी,Anguridevi,,141
आदर्श,Aadarsh,,141
काशीराम,Kashiram,,141
टिंकू,Tinku,,141
भू,Bhu,,141
साहव,Sahav,,141
उ०प्र०सहकारी,UP  Co-operative,y,140
बी०,,y,140
अंसारी,Ansari,,140
ऊषादेवी,Ushadevi,,140
खुराना,Khurana,,140
तुलसा,Tulsa,,140
दानिश,Danish,,140
प्रोपराईटर,proprietor,,140
आदिनाथ,Adinath,,139
उर्मिलादेवी,Urmiladevi,,139
किशनलाल,Kishan lal,,139
केला,Kela,,139
ठाकुरदास,Thakurdas,,139
डोरी,Dori,,139
दाऊजी,Dauji,,139
प्रोमोटर,Promoter,,139
मलिखान,Malikhan,,139
शमा,Shama,,139
सांईनाथ,Sainath,y,138
अकरम,Akram,,138
आनंद,Anand,,138
जेबा,Jeba,,138
पहुप,Pahup,,138
बैनीराम,Bainiram,,138
विद्याराम,Vidyaram,,138
सैंगर,Saingar,,138
इन्‍फ्राटेक,Infra tech,,137
त्रिवेणी,Triveni,,137
नन्दकिशोर,Nand kishor,,137
प्रधान,Pradhan,,137
मुन्‍नालाल,Munnalal,,137
रितेश,Ritesh,,137
चित्रा,Chitra,,136
नाजरीन,Najreen,,136
भगौर,Bhagaur,,136
मुलायम,Mulayam,,136
राष्ट्रपति,Rashtrapati,,136
स्वेता,Sweta,,136
मोहनसिंह,Mohan singh,y,135
सांई,Sani,y,135
किशोरी,Kishori,,135
जसवीर,Jasveer,,135
दीप्ति,Dipti,,135
रामबहादुर,Ram bahadur,,135
शब्बीर,Shabbir,,135
सरफराज,Sarfaraj,,135
साजिद,Sajid,,135
साहिल,Sahil,,135
होशियार,Hoshiyar,,135
देवीसिंह,Devi singh,y,134
राजवीरसिंह,Rajveer singh,y,134
खुशीराम,Khushiram,,134
दुर्ग,Durg,,134
भजन,Bhajan,,134
मधुसूदन,Madhusudan,,134
रश्मी,Rashmi,,134
अफरोज,Afroj,,133
कुशल,Kushal,,133
निजाम,Nijam,,133
पुष्‍पेन्‍द्र,Pushpendra,,133
रामप्यारी,Rampyari,,133
शकुंतला,Shakuntala,,133
सत्‍यवीर,Satyaveer,,133
स्वाती,Swati,,133
जहां,Jahan,y,132
सिंडिकेट,,y,132
अनवार,Anvar,,132
गोधन,Godhan,,132
जयराम,Jayram,,132
प्रमो,Pramo,,132
बंटी,Bunty,,132
सडवारिया,Sadvariya,,132
सत्तार,Sattar,,132
जन्नत,Jannat,,131
जयन्ती,Jayanti,,131
मुंशी,Munshi,,131
गंगाप्रसाद,Ganga prasad,,130
तोरन,Toran,,130
प्रियंक,Priyank,,130
भागवती,Bhagvati,,130
भान,Bhan,,130
शोभित,Shobhit,,130
सिसोदिया,Sisodiya,,130
सूरी,Soori,,130
हाइटस,Heights,,130
अनिमेश,Animesh,,129
आर्या,Aarya,,129
इशाक,Ishak,,129
गजाधर,Gajadhar,,129
नवाब,Navab,,129
पटेल,Patel,,129
पूरनचन्द,Pooranchand,,129
ब्रिजेश,Brijesh,,129
भीमसेन,Bheemsen,,129
मा,Ma,,129
मांगे,Mange,,129
विल्ड,Wild,,129
शाहरूख,Shahrukh,,129
सतेन्‍द्र,Satendra,,129
थानसिंह,Than singh,y,128
अल्का,Alka,,128
आर्यावर्ता,Aaryavarta,,128
ग्रोवर,Grover,,128
दौलत,Daulat,,128
फैसल,Faisal,,128
भदोरिया,Bhadoriya,,128
भानू,Bhanu,,128
महोदय,Mahoday,,128
माखन,Makhan,,128
रामसरन,Ram saran,,128
सतीशचंद,Satishchand,,128
हरपाल,Harpal,,128
बच्चूसिह,Bachchusih,y,127
सिंहमु,Sinhamu,y,127
दौजीराम,Daujiram,,127
पार्थ,Parth,,127
प्रशांत,Prashant,,127
बाई,Bai,,127
विज,Vij,,127
शहीद,Shaheed,,127
श्रीचन्द,Shree chand,,127
सरोजदेवी,Sarojdevi,,127
साहूकार,Sahukar,,127
सुजाता,Sujata,,127
सेंगर,Sengar,,127
हफीज,Hafeej,,127
एलएलपी,LLP,,126
कल्याण,Kalyan,,126
कार्यालय,Karyalay,,126
कृषि,Krushi,,126
खरग,Kharag,,126
ज्‍योति,Jyoti,,126
तहसीलदार,Tahseeldar,,126
बरौली,Barauli,,126
लक्ष्‍मन,Lakshman,,126
सत्‍यवती,Satyavati,,126
सन्नो,Sanno,,126
सोनल,Sonal,,126
इडिया,Idiya,y,125
अंगद,Angad,,125
अंशू,Anshu,,125
कोल्ड,Cold,,125
जसवंत,Jasvant,,125
तबस्सुम,Tabssum,,125
तालेवर,talevar,,125
दिमान,Diman,,125
परषोत्तम,Parshottam,,125
मोना,Mona,,125
रधुवीर,Radhuveer,,125
रूबीना,Rubina,,125
सहाय,Sahay,,125
साविर,Savir,,125
सुदामा,Sudama,,125
स्नेह,Sneh,,125
हजारीलाल,Hajarilal,,125
रन,Run,y,124
अरूणा,Aruna,,124
अस्थाना,Asthana,,124
कंसल,Kansal,,124
केवल,Keval,,124
चम्पा,Champa,,124
टीकाराम,Tikaram,,124
देवलाल,Devlal,,124
नेमी,Nemi,,124
पुरी,Puri,,124
मुन्‍ना,Munna,,124
मुवीना,Muveena,,124
यूपी,UP,,124
रामदीन,Ramdeen,,124
हाईटस,Heights,,124
प्रवाशम,Pravasham,,123
बजरंग,Bajrang,,123
बेटी,Beti,,123
मौर्या,Maurya,,123
रघु,Raghu,,123
शफीक,Shafik,,123
सज्जन,Sajjan,,123
सुलेखा,Sulekha,,123
अतरसिंह,Atar singh,y,122
बृजराज,Brijraj,y,122
अरतौनी,Artauni,,122
आमना,Aamna,,122
मेघा,Megh,,122
रामसखी,Ramsakhi,,122
शक्ति,Shakti,,122
शोभाराम,Shobharam,,122
सत्यनरायन,Satya narayan,,122
सुरेशचन्द्र,Sureshchandra,,122
जी०वी०ए०,,y,121
हुब्बलाल,Hubblal,y,121
अतीश,Ateesh,,121
दुर्गाप्रसाद,Durga prasad,,121
पोरवाल,Porwal,,121
प्रमेन्द्र,Pramendra,,121
योगेन्‍द्र,Yogendra,,121
रिजवाना,Rijvana,,121
शमशेर,Shamsher,,121
स्टील,Steel,,121
स्थल,Sthal,,121
उत्पादन,Utpadan,,120
ओमी,Omi,,120
बाबूराम,Baburam,,120
बुलन्द,Buland,,120
मूल,Mul,,120
राधादेवी,Radhadevi,,120
राधेलाल,Radhelal,,120
सेवा,Seva,,120
हेम,Hem,,120
भूपसिंह,Bhup singh,y,119
इन्फ्राजोन,Infra zone,,119
तनेजा,Taneja,,119
दीपेश,Deepesh,,119
पुरुषोत्तम,Purushottam,,119
यासीन,Yaseen,,119
होटल्स,Hotels,,119
राजेन्द्रसिंह,Rajendra singh,y,118
अक्षय,Akshay,,118
अन्नू,Annu,,118
आशादेवी,Aashadevi,,118
जौहरी,Jauhari,,118
देवकीनन्दन,Devki nandan,,118
बांके,Banke,,118
बैकुण्ठी,Bank,,118
वीरू,Veeru,,118
सौरव,Saurav,,118
एंव,,y,117
सिददकी,Siddiqui,y,117
अनामिका,Anamika,,117
अभिनव,Abhinav,,117
एजूकेशनल,Educational,,117
तुलसीराम,Tulsiram,,117
प्राची,Prachi,,117
बसेरा,Basera,,117
रोहताश,Rohtash,,117
सैनिक,Sainik,,117
हरिप्यारी,Haripyari,,117
ओमपाल,Ompal,,116
गोलो,Golo,,116
नारायनी,Narayani,,116
नावालिग,Navalig,,116
मानिकचन्द,Manikchand,,116
राजकपूर,Raj kapoor,,116
राजेंद्र,Rajendra,,116
समीम,Sameem,,116
सेठ,Seth,,116
रूपसिंह,Roop singh,y,115
वी०,,y,115
आनन्‍द,Anand,,115
खण्‍डेलवाल,Khandelval,,115
गुम्बर,Gumbar,,115
चन्देल,Chandel,,115
जलदेवी,Jaldevi,,115
जिला,Jila,,115
नाज,Naj,,115
पल्लवी,Pallavi,,115
बादामी,Badami,,115
राकेशकुमार,Rakesh kumar,,115
वाधवानी,Vadhvani,,115
सिकन्दर,Sikandar,,115
हरदम,Hardam,,115
दीन,Din,y,114
बच्चूसिंह,Bachchu singh,y,114
अाफ,Aaf,,114
कन्स्ट्रक्शन्स,Constructions,,114
जुगल,Jugal,,114
रामकेश,Ramkesh,,114
रिषी,Rishi,,114
लालो,Lalo,,114
शमशाद,Shamshad,,114
सीमादेवी,Seemadevi,,114
सोमेश्‍वर,Someshvar,,114
हाऊसिंग,Housing,,114
अपर्णा,Aparna,,113
अष्ट,Asht,,113
गजेन्‍द्र,Gajendra,,113
गुलाव,Gulav,,113
नफीसा,Nafisa,,113
पचोरी,Pachori,,113
पूरनदेवी,Poorandevi,,113
भाई,Bhai,,113
रामरूप,Ramroop,,113
रीतू,Reetu,,113
सिद्धार्थ,Siddharth,,113
हेमराज,Hemraj,,113
कादम्बरी,Kadambri,,112
कुशवाहा,Kushvaha,,112
चांद,Chand,,112
जशोदा,Jashoda,,112
तुकमान,Tukman,,112
प्रकाशी,Prakashi,,112
मौहरश्री,Mauharshree,,112
सुम्मेर,Summer,,112
ऋषभ,Rushabh,y,111
रघुवीरसिंह,Raghuveer singh,y,111
रामवीरसिंह,Ramveer singh,y,111
अधिकारी,Adhikari,,111
अन्तराम,Antaram,,111
इन्फ्रास्टेट,Infra state,,111
उप्रैती,Upraiti,,111
कुलश्रेष्‍ठ,Kulshreshth,,111
ताहिर,Tahir,,111
विपुल,Vipul,,111
हरेन्‍द्र,Harendra,,111
सिददीकी,Siddiqui,y,110
अंकिता,Ankita,,110
अम्बरीश,Ambrish,,110
उप्रेती,Upreti,,110
कान्हा,Kanha,,110
गांधी,Gandhi,,110
गोर्धन,Gordhan,,110
डम्बर,Dumbar,,110
द्रारा,Drara,,110
रोशनी,Roshani,,110
वती,Vati,,110
श्‍यामवीर,Shyam veer,,110
श्रुति,Shruti,,110
हेमन्‍त,Hemant,,110
अजीम,Ajeem,,109
अमरजीत,Amarjeet,,109
गोविन्‍द,Govind,,109
जगवीरी,Jagveeri,,109
ताराचंद,Tarachand,,109
धर्मजीत,Dharmjeet,,109
मृदुला,Mrudula,,109
यदुवीर,Yaduveer,,109
लक्ष्मीनारायन,Lakshmi narayan,,109
साक्षी,Sakshi,,109
कप्तानसिंह,Kaptan singh,y,108
को,co,y,108
लच्छो,Lachcho,y,108
सोवरनसिंह,Sovran singh,y,108
अनिलकुमार,Anil kumar,,108
कर्मवीर,Karmveer,,108
कल्‍पना,Kalpana,,108
कल्लू,Kallu,,108
कौलारा,Kaulara,,108
नेमवती,Nemvati,,108
विजया,Vijaya,,108
शांति,Shanti,,108
शिमला,Shimla,,108
श्रीपति,Shreepati,,108
अरशद,Arshad,,107
अंसार,Ansar,,107
कांता,Kanta,,107
कासिम,Kasim,,107
नीना,Neena,,107
परमानन्द,Parmanand,,107
पियूष,Piyush,,107
मलोदा,Maloda,,107
मुंशीलाल,Munshilal,,107
लोचन,Lochan,,107
शेलेन्द्र,Shelendra,,107
श्रीपाल,Shreepal,,107
सूर्य,Surya,,107
हाजरा,Hajra,,107
होती,Hoti,,107
एन०,,y,106
कैन,Kain,y,106
हाकिमसिंह,Hakim singh,y,106
खालिद,Khalid,,106
बादाम,Badam,,106
बोबी,Boby,,106
भोजराज,Bhojraj,,106
ममतादेवी,Mamtadevi,,106
रामलछिन,Ram lachin,,106
विजयकान्त,Vijaykant,,106
विनोदकुमार,Vinod kumar,,106
शकुन्तलादेवी,Shakuntaladevi,,106
शिवप्रसाद,Shiv prasad,,106
स्टोरेज,Storage,,106
लखनऊ,Lakhnau,y,105
अखलेश,Akhalesh,,105
कागारौल,Kagaraul,,105
गुलकन्दी,Gulkandi,,105
छावडा,Chavda,,105
जगदीशप्रसाद,Jagdish prasad,,105
दाखश्री,Dakhshree,,105
निरोती,Niroti,,105
परताप,Partap,,105
प्रशान्‍त,Prashant,,105
फैज,Faij,,105
मीनेश,Meenesh,,105
रामढकेली,Ram dhakeli,,105
रामहरी,Ram hari,,105
रूवी,Ruvi,,105
रूस्तम,Rustom,,105
वीरवती,Veervati,,105
हंसराज,Hansraj,,105
उ०,U,y,104
तेजसिंह,Tej singh,y,104
भरतसिंह,Bharat singh,y,104
सरं,Saram,y,104
अफसर,Afsar,,104
आदेश,Aadesh,,104
तसलीम,Taslim,,104
दीनानाथ,Dinanath,,104
नहनी,Nahni,,104
निर्देशक,Nirdeshak,,104
नेमीचन्द,Nemichand,,104
प्रगति,Pragati,,104
प्रवीण,Pravin,,104
फुरकान,Furkan,,104
फैजान,Faijan,,104
मेहरोत्रा,Mehrotra,,104
राजुल,Rajul,,104
श्रीकृष्‍ण,Shree krishna,,104
सैयद,Saiyad,,104
सोमदत्त,Somdatt,,104
कलां,Kala,y,103
कुमरसैन,Kumar sen,y,103
राठोर,Rathor,y,103
हरीसिह,Harisih,y,103
इन्फ्राटैक,Infra tech,,103
चोपडा,Chopda,,103
त्रिभुवन,Tri bhuvan,,103
दयावती,Dayavati,,103
नथोली,Natholi,,103
नर्वदा,Narvada,,103
फरीद,Fareed,,103
वनवारी,Vanvari,,103
देेेेवी,Daivi,y,102
कुनाल,Kunal,,102
खेडा,Kheda,,102
गुडडीदेवी,Guddidevi,,102
जीवनलाल,Jeevanlal,,102
दादू,Dadu,,102
बेवी,Bevi,,102
मनोजकुमार,Manoj kumar,,102
मुन्द्रा,Mundra,,102
मुस्ताक,Mustak,,102
रामकरन,Ram karan,,102
सावित्रीदेवी,Savitridevi,,102
अनवरी,Anvari,,101
अमरीश,Amrish,,101
आबिद,Aabid,,101
कन्‍हैयालाल,Kanhaiyalal,,101
कुन्तल,Kuntal,,101
चांदनी,Chandni,,101
निसार,Nisar,,101
बरफी,Barfi,,101
भगवत,Bhagvat,,101
भवर,Bhavar,,101
भोगीराम,Bhogiram,,101
रवीन्द्रपाल,Ravindrapal,,101
विरेन्द्र,Virendra,,101
संतो,Santo,,101
सालिगराम,Saligram,,101
स्वदेश,Swadesh,,101
अनुपमा,Anupama,,100
कदीर,Kadir,,100
गरिमा,Garima,,100
नानक,Nanak,,100
शम्भू,Shambhu,,100
श्रीमतीदेवी,Shreematidevi,,100
सुरेशचन्‍द,Sureshchand,,100
हितेश,Hitesh,,100
विठठल,Viththal,y,99
स्काई,Sky,y,99
जुरैल,Jurail,,99
रविशंकर,Ravi shankar,,99
राधाकिशन,Radha kishan,,99
रामफूल,Ramful,,99
लोहिया,Lohiya,,99
शाहिदा,Shahida,,99
संतोषी,Santoshi,,99
आर०,,y,98
बृजेन्द्र,Brijendra,y,98
कान्‍त,Kant,,98
कान्‍ता,Kanta,,98
गुरूदेव,Gurudev,,98
जुगनू,Jugnu,,98
डायमण्ड,Diamond,,98
नागेन्द्र,Nagendra,,98
पिन्टू,Pintu,,98
रसीद,Raseed,,98
राठी,Rathi,,98
विधाराम,Vidharam,,98
शशीकान्‍त,Shashikant,,98
शिखर,Shikhar,,98
सत्‍य,Satya,,98
एड०,,y,97
लाखनसिह,Lakhansih,y,97
सिंह‚,,y,97
अनीश,Anish,,97
अनीशा,Anisha,,97
अरुन,Arun,,97
अशोककुमार,Ashok kumar,,97
कक्कड,Kakkad,,97
गाेयल,Goyal,,97
ग्या,Gya,,97
घनश्‍याम,Ghanshyam,,97
चन्द्रमोहन,Chandra mohan,,97
टावर,Tower,,97
नत्‍थीलाल,Natthilal,,97
पिस्ता,Pista,,97
मनु,Manu,,97
मार्गश्री,Margshree,,97
रमेशचन्द्र,Rameshchandra,,97
लैण्ड,Land,,97
वहादुर,Vahadur,,97
विद्‍या,Vidya,,97
शिवनाथ,Shivnath,,97
संयुक्त,Sanyukt,,97
हरिपाल,Haripal,,97
अफजाल,Afjal,y,96
विल्डवैल,Wildwail,Y,96
सिण्डीकेट,,y,96
अधिकरी,Adhikari,,96
आसवानी,Aasvani,,96
इन्‍फ्रास्‍टेट,Infra state,,96
इसरार,Israr,,96
राजनदेवी,Rajandevi,,96
लालवती,Lalvato,,96
वाहिद,Vahid,,96
विभा,Vibha,,96
शिल्पा,Shilpa,,96
सैफी,Saifi,,96
हमीद,Hameed,,96
हरप्यारी,Harpyari,,96
हर्षित,Harshit,,96
हितेन्द्र,Hitendra,,96
महेश्वरी,Maheshvari,y,95
सिद्दकी,Siddiqui,y,95
अनारदेवी,Anardevi,,95
अशरफ,Ashraf,,95
आकांक्षा,Aakanksha,,95
कन्‍हैया,Kanhaiya,,95
केदारनाथ,Kedarnath,,95
जंगजीत,Jangjeet,,95
नगमा,Nagma,,95
नैमी,Naimi,,95
पठान,Pathan,,95
परशुराम,Parshuram,,95
मौजीराम,Maujiram,,95
सोनवती,Sonvati,,95
हरे,Hare,,95
अमरसिह,Amarsih,y,94
न,Na,y,94
बनै,Banai,y,94
उपेन्‍द्र,Upendra,,94
कराहरा,Karahara,,94
चिराग,Chirag,,94
जीशान,Jishan,,94
नाजिम,Najim,,94
भूरे,Bhure,,94
रामचन्द,Ramchand,,94
लखमी,Lakhmi,,94
समाधिया,Samadhiya,,94
सर्विस,Service,,94
सुरेखा,Surekha,,94
डबेलिंग्स,,y,93
बिल्डवेल,Buildwell,y,93
महावीरसिंह,Mahaveer singh,y,93
राकेश्वर,Rakeshvar,y,93
सुरेन्द्रसिंह,Surendra singh,y,93
अवध,Avadh,,93
असगर,Asgar,,93
आयशा,Aaysha,,93
कुकरेजा,Kukreja,,93
कुंज,Kunj,,93
ग्यान,Gyan,,93
डिम्पल,Dimple,,93
प्रिन्स,Prince,,93
बावू,Bavu,,93
रिहान,Rihan,,93
रैपुरिया,Raipuriya,,93
लाम्बा,Lamba,,93
वरी,Vari,,93
वासमती,Vasmati,,93
सनेही,Sanehi,,93
भीकमसिंह,Bhikam singh,y,92
अपूर्व,Apurv,,92
उपासना,Upasana,,92
नारंगी,Narangi,,92
पैलेस,Palace,,92
भूतपूर्व,Bhutpurv,,92
मातादीन,Matadin,,92
राधारमन,Radha raman,,92
रेशमदेवी,Reshamdevi,,92
विलास,Vilas,,92
शारदादेवी,Sharadadevi,,92
सुरभि,Surbhi,,92
अमृत,Amrut,y,91
रनवीरसिंह,Ranveer singh,y,91
अमरेश,Amresh,,91
एवरन,Evran,,91
कामता,Kamta,,91
कौशल्या,Kaushalya,,91
जयदेव,Jaydev,,91
पुनिया,Puniya,,91
प्रमाेद,Pramod,,91
मधुवाला,Madhuvala,,91
राजेन्द्रप्रसाद,Rajendra prasad,,91
लियाकत,Liyakat,,91
साबरा,Sabra,,91
सुशीलादेवी,Sushiladevi,,91
सोबरन,Sobran,,91
हरविलास,Har vilas,,91
हिमांशू,Himanshu,,91
बरूआ,Baruaa,y,90
इशरत,Ishrat,,90
कीठम,Kitham,,90
क्षेत्रपाल,Kshetrapal,,90
ग्यासीराम,Gyasiram,,90
प्रोमो,Promo,,90
प्रोमोटर्स,Promoters,,90
