og_representation,mapping
fifth floor,floor no 5
Five floor,floor no 5
Fouth floor,floor no 5
Six floor,floor no 6
Sixth floor,floor no 6
sixth floor,floor no 6
06Th floor,floor no 6
6-Th floor,floor no 6
6Th floor,floor no 6
C6Th floor,floor no 6
Sisxth floor,floor no 6
07Th floor,floor no 7
7Th floor,floor no 7
Sevan floor,floor no 7
Seven floor,floor no 7
Seventh floor,floor no 7
seventh floor,floor no 7
08Th floor,floor no 8
8Th floor,floor no 8
athva floor,floor no 8
Eight floor,floor no 8
eight floor,floor no 8
Eighth floor,floor no 8
eighth floor,floor no 8
09Th floor,floor no 9
9Th floor,floor no 9
nauwa floor,floor no 9
nawwa floor,floor no 9
Nine floor,floor no 9
Nineth floor,floor no 9
Ninth floor,floor no 9
ninth floor,floor no 9
Basemant floor,floor no B0
Basement floor,floor no B0
Basment floor,floor no B0
Besment floor,floor no B0
Apartmentground floor,floor no G0
G floor,floor no G0
Gnd floor,floor no G0
Goround floor,floor no G0
Gound floor,floor no G0
Gr floor,floor no G0
Graound floor,floor no G0
Graund floor,floor no G0
Grd floor,floor no G0
Grn floor,floor no G0
Grnd floor,floor no G0
Gro floor,floor no G0
Grond floor,floor no G0
Groud floor,floor no G0
Groun floor,floor no G0
ground first floor,floor no G0
Ground floor,floor no G0
ground floor,floor no G0
ground floor,floor no G0
Ground/Stilt floor,floor no G0
Grounf floor,floor no G0
Groung floor,floor no G0
Grount floor,floor no G0
Gruond floor,floor no G0
Gruound floor,floor no G0
Hround floor,floor no G0
Round floor,floor no G0
Stilt/Gr floor,floor no G0
Stilt/Ground floor,floor no G0
Lower floor,floor no LG0
lower ground floor,floor no LG0
lower ground floor,floor no LG0
lower ground apper ground floor,"floor no LG0,UG0"
apper ground floor,floor no UG0
Ground+Upper floor,floor no UG0
Ug floor,floor no UG0
Upgr floor,floor no UG0
Uppar floor,floor no UG0
Uppargrd floor,floor no UG0
Upper floor,floor no UG0
upper gr floor,floor no UG0
upper ground floor,floor no UG0
Terrace floor,T
Top floor,T
01St,1
02Nd,2
03Rd,3
05Th,5
06Th,6
07Th,7
08Th,8
09Th,9
10Rh,10
10Th,10
11Th,11
12Th,12
13Th,13
14Th,14
15Th,15
16Th,16
17Th,17
18Tg,18
18Th,18
19Th,19
1Sr,1
1St,1
20Th,20
21St,21
21Th,21
22Nd,22
22Th,22
23Rd,23
23Th,23
24Th,24
25Th,25
26Th,26
27Th,27
28Th,28
29Th,29
2N,2
2Nd,2
2Nd/3Rd,"2,3"
2Rd,2
2Th,2
30Th,30
31St,31
31Th,31
32Nd,32
33Rd,33
33Th,33
3D,3
3Dr,3
3Nd,3
3Rd,3
3Rfd,3
3Th,3
4Rh,4
4T,4
4Th,4
5Ht,5
5T,5
5Th,5
5Trh,5
6-Th,6
6Th,6
7Th,7
8Th,8
9Th,9
And2Nd,2
C6Th,6
ground,g0
first,1
Second,2
Seconf,2
Secound,2
Sevan,7
Seven,7
Seventeen,17
Seventeenth,17
Seventh,7
Sisxth,6
Fifteenth,15
Fifth,5
First,1
Fist,1
Five,5
Forteen,14
Forth,4
Four,4
Fourt,4
Fourteen,14
Fourth,4
Fouth,4
Frist,1
Fst,1
Ft1St,1
Eight,8
Eighteenth,18
Eighth,8
Eleventh,11
Nine,9
Nineth,9
Ninth,9
One,1
Second,2
Seconf,2
Secound,2
Sevan,7
Seven,7
Seventeen,17
Seventeenth,17
Seventh,7
Sisxth,6
Six,6
Sixteen,16
Sixteenth,16
Sixth,6
Third,3
Thirteenth,13
Three,3
Ten,10
Tenth,10
Twelfth,12
Twelth,12
Twelve,12
Twelveth,12
Twentyeighth,28
Two,2
SNO,survey no
Ga No,survey no
1 floor,floor no 1
1 FLOORS,floor no 1
2 floor,floor no 2
2 FLOORS,floor no 2
3 FLOOR,floor no 3
4 FLOOR,floor no 4
5 FLOOR,floor no 5
6 FLOOR,floor no 6
7 FLOOR,floor no 7
8 FLOOR,floor no 8
9 FLOOR,floor no 9
10 FLOOR,floor no 10
11 FLOOR,floor no 11
12 FLOOR,floor no 12
13 FLOOR,floor no 13
floors,floor
floor - grd,floor no g0
floor 1st,floor no 1
floor 2nd,floor no 2
floor 3rd,floor no 3
floor 4th,floor no 4
floor 5th,floor no 5
floor 6th,floor no 6
floor 7th,floor no 7
floor 8th,floor no 8
floor 9th,floor no 9
floor 10th,floor no 10
floor 11th,floor no 11
floor 12th,floor no 12
floor 13th,floor no 13
floor,floor no
C.T.S. Number, survey no
gat number, survey no
Flant No,flat no
grd - floor,floor no g0
dusarya floor,floor no 2
San No,survey no
C T S No,survey no
c . s no,survey no
c . s . t no,survey no
c . t . s no,survey no
c . t . s nos,survey no
C T S Nos,survey no
wing - b,wing no b0
wing d,wing no d0
Flant No,flat no
grd - floor,floor no g0
dusarya floor,floor no 2
San No,survey no
C T S No,survey no
c . s no,survey no
c . s . t no,survey no
c . t . s no,survey no
c . t . s nos,survey no
C T S Nos,survey no
wing - b,wing no b0
wing a4,wing no a4
wing b4,wing no b4
wing c4,wing no c4
wing d4,wing no d4
wing e4,wing no e4
wing f4,wing no f4
wing g4,wing no g4
wing h4,wing no h4
wing i4,wing no i4
wing j4,wing no j4
wing k4,wing no k4
wing l4,wing no l4
wing m4,wing no m4
wing n4,wing no n4
wing o4,wing no o4
wing p4,wing no p4
wing q4,wing no q4
wing r4,wing no r4
wing s4,wing no s4
wing t4,wing no t4
wing u4,wing no u4
wing v4,wing no v4
wing w4,wing no w4
wing x4,wing no x4
wing y4,wing no y4
wing z4,wing no z4
wing a1,wing no a1
wing b1,wing no b1
wing c1,wing no c1
wing d1,wing no d1
wing e1,wing no e1
wing f1,wing no f1
wing g1,wing no g1
wing h1,wing no h1
wing i1,wing no i1
wing j1,wing no j1
wing k1,wing no k1
wing l1,wing no l1
wing m1,wing no m1
wing n1,wing no n1
wing o1,wing no o1
wing p1,wing no p1
wing q1,wing no q1
wing r1,wing no r1
wing s1,wing no s1
wing t1,wing no t1
wing u1,wing no u1
wing v1,wing no v1
wing w1,wing no w1
wing x1,wing no x1
wing y1,wing no y1
wing z1,wing no z1
wing a2,wing no a2
wing b2,wing no b2
wing c2,wing no c2
wing d2,wing no d2
wing e2,wing no e2
wing f2,wing no f2
wing g2,wing no g2
wing h2,wing no h2
wing i2,wing no i2
wing j2,wing no j2
wing k2,wing no k2
wing l2,wing no l2
wing m2,wing no m2
wing n2,wing no n2
wing o2,wing no o2
wing p2,wing no p2
wing q2,wing no q2
wing r2,wing no r2
wing s2,wing no s2
wing t2,wing no t2
wing u2,wing no u2
wing v2,wing no v2
wing w2,wing no w2
wing x2,wing no x2
wing y2,wing no y2
wing z2,wing no z2
wing - a3,wing no a3
wing - b3,wing no b3
wing - c3,wing no c3
wing - d3,wing no d3
wing - e3,wing no e3
wing - f3,wing no f3
wing - g3,wing no g3
wing - h3,wing no h3
wing - i3,wing no i3
wing - j3,wing no j3
wing - k3,wing no k3
wing - l3,wing no l3
wing - m3,wing no m3
wing - n3,wing no n3
wing - o3,wing no o3
wing - p3,wing no p3
wing - q3,wing no q3
wing - r3,wing no r3
wing - s3,wing no s3
wing - t3,wing no t3
wing - u3,wing no u3
wing - v3,wing no v3
wing - w3,wing no w3
wing - x3,wing no x3
wing - y3,wing no y3
wing - z3,wing no z3
wing - a1,wing no a1
wing - b1,wing no b1
wing - c1,wing no c1
wing - d1,wing no d1
wing - e1,wing no e1
wing - f1,wing no f1
wing - g1,wing no g1
wing - h1,wing no h1
wing - i1,wing no i1
wing - j1,wing no j1
wing - k1,wing no k1
wing - l1,wing no l1
wing - m1,wing no m1
wing - n1,wing no n1
wing - o1,wing no o1
wing - p1,wing no p1
wing - q1,wing no q1
wing - r1,wing no r1
wing - s1,wing no s1
wing - t1,wing no t1
wing - u1,wing no u1
wing - v1,wing no v1
wing - w1,wing no w1
wing - x1,wing no x1
wing - y1,wing no y1
wing - z1,wing no z1
wing - a2,wing no a2
wing - b2,wing no b2
wing - c2,wing no c2
wing - d2,wing no d2
wing - e2,wing no e2
wing - f2,wing no f2
wing - g2,wing no g2
wing - h2,wing no h2
wing - i2,wing no i2
wing - j2,wing no j2
wing - k2,wing no k2
wing - l2,wing no l2
wing - m2,wing no m2
wing - n2,wing no n2
wing - o2,wing no o2
wing - p2,wing no p2
wing - q2,wing no q2
wing - r2,wing no r2
wing - s2,wing no s2
wing - t2,wing no t2
wing - u2,wing no u2
wing - v2,wing no v2
wing - w2,wing no w2
wing - x2,wing no x2
wing - y2,wing no y2
wing - z2,wing no z2
wing a,wing no a0
wing b,wing no b0
wing c,wing no c0
wing d,wing no d0
wing e,wing no e0
wing f,wing no f0
wing g,wing no g0
wing h,wing no h0
wing i,wing no i0
wing j,wing no j0
wing k,wing no k0
wing l,wing no l0
wing m,wing no m0
wing n,wing no n0
wing o,wing no o0
wing p,wing no p0
wing q,wing no q0
wing r,wing no r0
wing s,wing no s0
wing t,wing no t0
wing u,wing no u0
wing v,wing no v0
wing w,wing no w0
wing x,wing no x0
wing y,wing no y0
wing z,wing no z0
wing - a,wing no a0
wing - b,wing no b0
wing - c,wing no c0
wing - d,wing no d0
wing - e,wing no e0
wing - f,wing no f0
wing - g,wing no g0
wing - h,wing no h0
wing - i,wing no i0
wing - j,wing no j0
wing - k,wing no k0
wing - l,wing no l0
wing - m,wing no m0
